,time_published,kicker,title,lead
0,2022-06-01 22:57:00+02:00,3:1-Erfolg in Schottland,Entschlossene Ukraine darf weiter von der WM träumen,In einem hochemotionalen Playoff-Halbfinal der WM-Qualifikation feiern die Osteuropäer einen verdienten 3:1-Sieg.
1,2022-06-01 22:09:00+02:00,Weg zur Energiewende,Energiegesetze: Wie viel Zwang ist möglich?,Aargau und Solothurn überarbeiten ihre Energiegesetze. Dabei gehen nicht beide Kantone gleich weit mit den Vorgaben.
2,2022-06-01 21:37:00+02:00,Repression in der Türkei,Erdogan fürchtet um seine Macht,"Wer nicht für ihn ist, ist gegen ihn: Erdogan kämpfe mit den Folgen seines Präsidialsystems, sagt Journalist Seibert."
3,2022-06-01 21:32:00+02:00,Depp vs. Heard,Johnny Depp gewinnt Verleumdungsprozess gegen Amber Heard,Die Geschworenen haben dem Hollywood-Star einen Schadenersatz von 15 Mio. Dollar zugesprochen.
4,2022-06-01 21:08:00+02:00,Paris: Viertelfinals Männer,Cilic auch von Rublew nicht zu stoppen,Marin Cilic schlägt Andrej Rublew in 5 Sätzen und zieht erstmals in seiner Karriere in den Halbfinal von Paris ein.
5,2022-06-01 20:56:00+02:00,Urteil Supreme Court ,Die Wut der Rechten in den USA auf Twitter & Co.,"In den USA soll es Technologie-Konzernen weiterhin erlaubt bleiben, einzelne Nutzerinnen und Nutzer zu sperren."
6,2022-06-01 19:50:00+02:00,Debatte um Kosten,Gesundheitswesen: «Die Lobbyisten waren erfolglos»,Was bedeutet der Gegenvorschlag für die «Kostensenkungs-Initiative»? Mitte-Präsident Gerhard Pfister erklärt.
7,2022-06-01 19:24:00+02:00,Streit um Justizreformen,EU und Polen einigen sich bezüglich Corona-Milliarden,Nach monatelangem Streit haben sich die beiden Parteien auf einen Plan für die Auszahlung der Corona-Hilfen verständigt.
8,2022-06-01 19:18:00+02:00,Schweiz-EU,Ein Brief an die EU als diplomatischer Balance-Akt ,Staatssekretärin Leu antwortet der EU und bleibt im Vagen – möchte aber rasch ein weiteres Treffen mit EU-Vertretern.
9,2022-06-01 18:59:00+02:00,Tscheche mit SL-Vergangenheit,Vaclik: «Die Schweiz hat grosse Namen im Team»,Der tschechische Goalie zollt dem kommenden Gegner Respekt und freut sich auf das Wiedersehen mit alten Bekannten.
10,2022-06-01 18:42:00+02:00,Privatunterbringung,Das Leben einer Flüchtlingsfamilie in Riggisberg,"Geldsorgen, Dankbarkeit und Trauer – nach wenigen Wochen in der Gastfamilie bleibt vieles ungewiss."
11,2022-06-01 18:15:00+02:00,Marge der Ölraffinerien ,Deshalb könnten die Benzinpreise bald sinken,"Während die Benzinpreise in der EU hoch bleiben, erhöhen Ölraffinerien die Marge – und machen viel Gewinn. "
12,2022-06-01 17:03:00+02:00,Häusliche Gewalt,Femizid in Zürich: Hätte man Fulya Demir schützen können? ,Fulya Demir wurde vor ihrem Haus getötet. Ihr Ehemann gilt als dringend tatverdächtig. Er hatte sie zuvor bedroht. 
13,2022-06-01 16:56:00+02:00,Queen Elizabeths Thronjubiläum,Kasse machen mit der Königin,"Hoteliers, Wirte und Detailhändler reiben sich die Hände: Queen Elizabeths Jubiläumsfeier beschert ihnen Traum-Umsätze."
14,2022-06-01 16:51:00+02:00,Paris: Viertelfinals Frauen,Swiatek nähert sich Williams-Rekord – auch Kasatkina im Halbfinal,Mit einem souveränen 2-Satz-Sieg steht die polnische Überfliegerin an Roland Garros unter den letzten vier.
15,2022-06-01 16:49:00+02:00,Patient seit einem Jahr gesund,Zürcher Forschenden gelingt Transplantation geschädigter Leber,Eine Maschine hat die Transplantation einer geschädigten und von Transplantationszentren abgewiesenen Leber ermöglicht. 
16,2022-06-01 16:45:00+02:00,Witold Gombrowicz neu entdeckt,Der Roman «Pornographie» begeistert – auch ohne Sex-Szenen,Von Polens Provokateur: Der Zürcher Kampa Verlag legt die Groteske des polnischen Autors Witold Gombrowicz neu auf.
17,2022-06-01 15:42:00+02:00,Königin der Superlative ,7 Fakten zum 70. Thronjubiläum von Queen Elizabeth II.,"Pokale, Päpste, Ponys: Elizabeth II. hat viel Beeindruckendes und Überraschendes erlebt. 7 Fakten zum 70. Thronjubiläum."
18,2022-06-01 15:37:00+02:00,Neu im Stream,"«Stranger Things 4»: Doppelt so viel Horror, halb so viel Charme",Die populäre Netflix-Serie pubertiert: Ihre nostalgische 80er-Welt wirkt plötzlich deutlich dunkler und haarsträubender.
19,2022-06-01 15:22:00+02:00,Schöne Scheisse!,Das unterschätzte Potential von Fäkalien ,"Warum Fäkalien mit Trinkwasser wegspülen, wenn sich daraus nützliche Dinge herstellen lassen?"
20,2022-06-01 14:33:00+02:00,Krieg in der Ukraine,Waffen für die Ukraine: «Scholz versucht den Befreiungsschlag»,"Nach langem Zögern sagt Scholz der Ukraine weitere Waffen zu. Berlin fremdle mit seiner Rolle, so Journalistin Ramseier."
21,2022-06-01 13:44:00+02:00,Fussball und der Krieg,Als Russen und Ukrainer noch gemeinsam auf dem Platz standen,"Die Ukraine will an die WM, Russland schaut zu. Zu Sowjetzeiten war vieles anders – doch auch damals gab es Risse."
22,2022-06-01 12:55:00+02:00,Kampf gegen Prämienexplosion,Nationalrat will Prämienanstieg mit Kostenzielen bremsen,Kosten- und Qualitätsziele sollen Prämien eindämmen: Nationalrat empfiehlt die Kostenbremse-Initiative zur Ablehnung.
23,2022-06-01 12:36:00+02:00,Nachtragskredite wegen Covid,Hitzige Diskussion um 2.1. Milliarden für Kurzarbeit im Ständerat,Wegen eines Bundesgerichtsurteils erhalten Unternehmen mehr Entschädigungen. Der Ständerat entschied: auch rückwirkend.
24,2022-06-01 11:14:00+02:00,70. Thronjubiläum,«Die Queen ist ein lebendes Monument»,Seit 70 Jahren sitzt Queen Elizabeth auf dem britischen Thron. Royal-Experte Andreas C. Englert über ihre Beständigkeit.
25,2022-06-01 09:46:00+02:00,Mieterhöhungen ausgeschlossen,Referenzzinssatz für Wohnungsmieten bleibt bei 1.25 Prozent,Der rekordtiefe Wert hat sich laut Bundesamt für Wohnungswesen seit März 2020 nicht verändert.
26,2022-06-01 08:50:00+02:00,Chinas Null-Covid-Politik,«Der Lockdown in Schanghai hat tiefe Narben hinterlassen»,"Die Öffnungseuphorie in Chinas Metropole sei getrübt, sagt Journalist Kretschmer. Denn die neue Normalität ist fragil."
27,2022-06-01 06:50:00+02:00,Social-Media-Zensur in den USA,Supreme Court: Konzerne dürfen weiter einzelne Nutzer sperren,Ein Gesetz aus Texas wollte die Sperrung von Nutzenden auf Social-Media-Plattformen wegen ihrer Ansichten verbieten.
28,2022-06-01 01:27:00+02:00,Nach Amoklauf in Texas,Biden will sich mit Kongress zu Waffengewalt austauschen,"Während sich der US-Präsident mit dem Kongress treffen will, haben in Uvalde die ersten Beerdigungen stattgefunden."
